                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2017.01 on 11 29 2018                              
                                                UCC                                                

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
3,3,3,Low,private void updateMenuItems,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
2,2,2,Low,private boolean endOfBattle,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
3,3,3,Low,private void printBattleStats,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
1,1,1,Low,this.timer.schedule,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
2,2,2,Low,public void run,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
1,1,1,Low,this.timer.schedule,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
2,2,2,Low,public void run,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
2,2,2,Low,public BattleSpace,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
13,13,13,Medium,public void actionPerformed,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
1,1,1,Low,private void createAndShowGUI,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
1,1,1,Low,public void showResult,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
3,3,3,Low,public void updateMenuItems,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
3,3,3,Low,public boolean endOfBattle,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
4,4,4,Low,public void printBattleStats,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
1,1,1,Low,this.timer.schedule,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
2,2,2,Low,public void run,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
1,1,1,Low,this.timer.schedule,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
2,2,2,Low,public void run,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
1,1,1,Low,public Enemy,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public Enemy,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
2,2,2,Low,public boolean isDefeated,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public int getCurrentHealth,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public void setCurrentHealth,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public String getName,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public void setName,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public int getTotalHealth,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public void setTotalHealth,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public int getAttack,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public void setAttack,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public int getDefense,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public void setDefense,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public void attack,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
1,1,1,Low,public static void battle,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Battle.java
1,1,1,Low,public static void bossBattle,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Battle.java
1,1,1,Low,SwingUtilities.invokeLater,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Battle.java
5,5,5,Low,public void run,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Battle.java
1,1,1,Low,public Player,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
2,2,2,Low,public Player,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public void initPlayer,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public int getAttackNamesSize,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public String getRandAttack,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public void initAttackNames,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public int getCurrentHealth,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public void setCurrentHealth,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public String getName,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public void setName,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public int getTotalHealth,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public void setTotalHealth,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public int getAttack,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public void setAttack,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public int getDefense,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public void setDefense,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public void attack,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
1,1,1,Low,public EnemyList,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/EnemyList.java
1,1,1,Low,public List<Enemy>getList,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/EnemyList.java
1,1,1,Low,public List<Boss>getBossList,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/EnemyList.java
1,1,1,Low,public Enemy getRandomEnemy,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/EnemyList.java
2,4,2,Low,public boolean bossesDefeated,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/EnemyList.java
1,1,1,Low,public List<Boss>makeBossList,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/EnemyList.java
1,1,1,Low,public List<Enemy>makeList,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/EnemyList.java
1,1,1,Low,public Menu,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Menu.java
1,1,1,Low,Menu,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Menu.java
1,1,1,Low,public Menu,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Menu.java
1,1,1,Low,public void createMenuScreen,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Menu.java
7,7,7,Low,public void actionPerformed,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Menu.java
1,1,1,Low,public void createGameScreen,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Game.java
1,1,1,Low,void startNewGame,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Game.java
4,4,4,Low,void loadGame,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Game.java
4,4,4,Low,public void saveGame,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Game.java
1,1,1,Low,void quitGame,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Game.java
3,3,3,Low,public void actionPerformed,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Game.java
1,1,1,Low,public void createStartScreen,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Main.java
1,1,1,Low,public static void startMenu,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Main.java
3,3,3,Low,public void actionPerformed,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Main.java
2,2,2,Low,public void run,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Main.java
1,1,1,Low,public Boss,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Story/Boss.java
1,1,1,Low,public void setDefeated,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Story/Boss.java
1,1,1,Low,public boolean getDefeated,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Story/Boss.java
1,1,1,Low,public Enemy getBoss,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Story/Boss.java
1,1,1,Low,public int getAttackLinesSize,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Story/Boss.java
1,1,1,Low,public String getLine,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Story/Boss.java

257,286,235,Totals,114  Functions,18  File(s)
2.25,2.51,2.06,Averages,6.3  Functions per File   (Averages = Totals/Functions)
